ref_piid,total_obligated,action_count,exact_distinct_ref_piid_all_years
36W79720D0001,48416681879.16,19246,1430550
VA797P12D0001,45484932805.77,41384,1430550
36C10G19D0038,41173377239.39,131,1430550
36C79119D0006,34629771413.05,116,1430550
36C79119D0005,26688374913.91,100,1430550
DAAA0902D0007,26197963112.78,2998,1430550
36C79119D0004,25661321168.00,116,1430550
V797P1020,23996917915.44,81034,1430550
VA79113D0054,21260426066.36,346,1430550
80NM0018D0004,19485624236.81,12448,1430550
FA852612D0001,14010115659.26,2563,1430550
NAS703001,12391128204.46,13203,1430550
NNN12AA01C,11803341317.24,13136,1430550
SPM2DX13D1000,10925139283.89,188056,1430550
W52P1J07D0008,10731708261.83,480,1430550
SPE2DX16D1500,10419030183.47,143204,1430550
AIDOAAI1500004,10337684271.95,333,1430550
FA870215D0001,10276738110.52,2855,1430550
FA820518D0001,9494423214.80,895,1430550
FA863420D2704,9253694951.45,162,1430550
70B01C26D00000012,8834288051.70,18,1430550
FA862516D6458,8260051248.36,995,1430550
SPE8EJ21D1020,8018730381.84,1232,1430550
36C10B18D5000,7896392079.01,697,1430550
N0002400D6000,7889607027.63,26408,1430550
FA862016G3027,7848648408.50,2226,1430550
FA852621D0001,7713059599.58,501,1430550
W52P1J07D0007,7623535839.40,568,1430550
W900KK07D0001,7569851984.32,8550,1430550
GS00Q14OADU108,7183834279.83,2287,1430550
SPE8EJ21D0020,6997251178.39,23757,1430550
SPE60521D1004,6888449293.51,1352,1430550
DTFA0102D03006,6887930929.62,1641,1430550
47QTCK18D0004,6871997873.45,1923,1430550
N0001914G0020,6692332325.84,1399,1430550
W56HZV07DM112,6468027319.95,1735,1430550
TMHQ10C0044,6309145687.39,1350,1430550
F3365799D0028,6304121693.80,3784,1430550
H9225417D0001,6192513392.80,8406,1430550
GS35F4076D,6112605398.30,78741,1430550
N0001919G0008,5885408523.11,1092,1430550
V797P99PPV0001,5826793967.94,1141,1430550
2031JG20D00010,5820674778.22,1757,1430550
W31P4Q23D0003,5811721090.47,114,1430550
47QTCK18D0009,5725825793.75,1003,1430550
FA862520D3000,5672873692.11,456,1430550
FA861614D6060,5656149736.95,2200,1430550
FA862011G4025,5582149085.23,1837,1430550
W52P1J19D0044,5488201002.14,435,1430550
N0017804D4119,5304737906.64,14342,1430550
GS00Q09BGD0048,5273911297.42,1503,1430550
SPRBL115D0017,5167678607.08,2506,1430550
FA821315D0002,5149639442.33,312,1430550
N6600121A0083,5127153448.62,1983,1430550
75N91019D00024,5121830510.90,1012,1430550
FA812418D0001,5060471942.06,200,1430550
47QTCK18D0001,4924302115.09,721,1430550
47QTCK18D0003,4898276738.93,1102,1430550
N0003913D0013,4859267408.22,3207,1430550
W52P1J19D0045,4810164747.14,435,1430550
NNG15SC71B,4778272223.71,14623,1430550
F4262001D0058,4752361651.91,11798,1430550
FA861520D6052,4748354748.42,47,1430550
W31P4Q05A0031,4711374618.09,3550,1430550
GS00Q09BGD0019,4682743701.96,2564,1430550
N0002413D6400,4624045388.20,8587,1430550
HTC71118DCC39,4572534274.46,6015,1430550
HQ072716D0006,4546950024.02,1514,1430550
70B01C26D00000006,4543151503.70,7,1430550
SPM30008D3153,4524405511.99,49867,1430550
N0003910D0010,4475253082.79,1037,1430550
FA861118D2850,4467267742.44,347,1430550
FA862021G4027,4446693635.30,952,1430550
VA11816D1007,4382835535.63,356,1430550
89303322DEM000068,4306671746.93,225,1430550
N0017804D4024,4289541172.13,6682,1430550
W56KGU18D0004,4277786004.88,1075,1430550
N0003920D0054,4237242020.92,29481,1430550
FA520957D0001,4222090017.34,50,1430550
DTCG2302C2DW001,4166310667.78,954,1430550
SPM8EJ14D0005,4063650263.62,11904,1430550
W56HZV21D0001,3947944013.62,156,1430550
HTC71118DCC37,3923562722.80,5066,1430550
HT940214D0002,3918394774.94,211,1430550
GS35F4984H,3808827177.21,9907,1430550
FA881120D0001,3761702506.35,341,1430550
SLMAQM04C0030,3746009716.23,538,1430550
SPM20003D1666,3703264645.80,33490,1430550
N0001921G0006,3692380102.08,1112,1430550
SPE2DX22D0020,3649003241.17,43926,1430550
F3365701D0026,3583076670.06,2238,1430550
NNG15SD27B,3538508282.55,5128,1430550
70B01C23D00000009,3535155442.70,32,1430550
NNK14MA74C,3528545586.71,145,1430550
FA861406D2006,3526110348.04,88,1430550
N0003915D0044,3523332352.46,467,1430550
36C10X25D0003,3500724943.34,24,1430550
GS00Q17NSD3000,3488072883.58,3331,1430550
W52P1J07D0009,3468596981.66,648,1430550
AIDGPOI000500032,3445231518.29,63,1430550
F3460199D0002,3427326666.53,1114,1430550
F0960300D0210,3426558346.98,1136,1430550
W9121516G0001,3425735334.54,396,1430550
N6134019D1010,3412954232.71,1009,1430550
F3365702D0009,3412794689.85,1427,1430550
NNG15SD26B,3395891874.11,7767,1430550
FA861113D2850,3380827427.37,1039,1430550
36C10X25D0002,3353032866.27,24,1430550
47QTCK18D0029,3347222928.34,1029,1430550
FA881120D0002,3343398241.91,303,1430550
F1962801D0016,3313667260.87,2525,1430550
FA862015G4040,3278280065.38,1111,1430550
SP070003D1380,3217921029.66,8524,1430550
W15P7T06DE402,3178724475.61,3616,1430550
TMG5000,3155406117.75,795,1430550
W52P1J19D0085,3143849011.01,278,1430550
FA862016G3013,3132076284.03,1332,1430550
SPRPA114D002U,3076615318.82,418,1430550
N0001916G0001,3068745179.80,2764,1430550
VA79113D0053,3049493127.16,119,1430550
36C10X25D0004,3019389629.68,25,1430550
89303320DEM000030,3013242719.99,236,1430550
FA807518D0002,2999124565.10,2984,1430550
NNG15SD22B,2989407979.81,8313,1430550
W58RGZ18D0001,2984081636.01,1717,1430550
TMHQ10C0040,2945218569.56,840,1430550
N0001919D0015,2938674234.18,152,1430550
VA11816D1015,2935859956.38,621,1430550
FA862819D1000,2897841802.45,364,1430550
NNG15SD34B,2894182392.60,5044,1430550
N0017804D4030,2884952480.86,4343,1430550
N0002403D6606,2827657424.22,5323,1430550
HC102820D0001,2824338638.30,1022,1430550
GS35F0323J,2823997620.37,3484,1430550
N0001920D0013,2798367824.82,86,1430550
FA862010G3038,2791631905.65,1300,1430550
GS00Q09BGD0039,2786325527.34,1331,1430550
N6274222D1311,2777722902.15,55,1430550
FA807518D0004,2734593156.35,3458,1430550
W91CRB21D5003,2732525581.97,698,1430550
HQ072716D0004,2717567712.08,1120,1430550
HSHQDC06D00021,2709434061.57,1132,1430550
GS35F0119Y,2708495052.72,14632,1430550
W31P4Q09G0001,2699865836.80,160,1430550
AIDGPOI000600007,2679641796.35,176,1430550
47QTCA22D003G,2643853350.40,692,1430550
W56HZV09D0024,2643528665.58,606,1430550
N0017819D7264,2640055119.94,1724,1430550
H9500110D0001,2632224900.12,2969,1430550
HQ014712D0003,2616491941.46,1351,1430550
HQ079617D0001,2612836930.29,1505,1430550
FA807518D0015,2609254837.94,3249,1430550
GS35F4461G,2600323374.70,9569,1430550
FA862006G4002,2596917508.24,1061,1430550
W56HZV05G0005,2579950560.75,439,1430550
GS35F4381G,2577917089.12,4693,1430550
47QMCA22D000P,2570950548.42,49352,1430550
GS35F0306J,2568825755.99,5402,1430550
FA862011G4020,2566545098.52,1380,1430550
N0017804D4042,2554779574.45,7266,1430550
GS00Q14OADU122,2540202292.94,668,1430550
W56HZV09D0159,2533806458.74,523,1430550
W9124D19D0001,2532787455.62,626,1430550
GS00T07NSD0007,2530737108.42,4608,1430550
89303019AIM000005,2506713779.16,2933,1430550
SPE8EJ19D1004,2502654098.70,417,1430550
F3365784C2011,2490673000.00,63,1430550
N001641990001,2477905454.19,462,1430550
DCA200XX00000,2431589000.00,2785,1430550
NNG15SC82B,2430749322.08,26626,1430550
89303322DEM000067,2409118908.00,110,1430550
36C10X25D0001,2388023018.88,21,1430550
TC2001025,2387100980.04,768,1430550
70B01C26D00000013,2358991157.42,6,1430550
47QTCK18D0060,2351642902.98,411,1430550
19AQMM19D0119,2312348494.23,27,1430550
GS00K89AHD0008,2301642000.00,17,1430550
W56HZV17D0071,2297587473.77,417,1430550
GS00Q14OADU428,2283980708.70,776,1430550
GS00F290CA,2283071945.44,841,1430550
HC102817D0001,2276770374.22,2196,1430550
DCA20002D5001,2272113988.94,2002,1430550
TIRNO99D00005,2271045837.28,5348,1430550
GS23F8006H,2263777970.95,8135,1430550
NNG15SC33B,2253936812.10,2211,1430550
FA862021G4009,2245323181.07,500,1430550
70B01C26D00000007,2243969041.00,3,1430550
N0001919G0029,2237723797.51,1097,1430550
H9225409D0001,2235128055.24,9487,1430550
SPE4AX17D9403,2230461299.55,4607,1430550
W56HZV15D0031,2229519125.01,688,1430550
47QTCK18D0036,2225608351.29,648,1430550
HT940216D0001,2222239034.00,84,1430550
W52P1J22D0007,2214442348.74,41,1430550
GS35F4692G,2210835839.30,1571,1430550
W56HZV20D0005,2210379812.78,61,1430550
GS35F0884P,2199626615.51,905,1430550
TIRNO99D00001,2190139161.71,2224,1430550
SPE4AX15D9423,2178334181.21,593,1430550
F3365784C2128,2175889000.00,12,1430550
F3365701D2050,2172552432.80,1529,1430550
W52P1J12G0028,2167585197.95,603,1430550
SPE8EJ21D0025,2165965048.01,7117,1430550
FA862015D3009,2164461364.13,728,1430550
N0017804D4066,2158926251.12,2227,1430550
W31P4Q21D0003,2148163452.79,87,1430550
N0001923D0010,2135429041.21,39,1430550
GS00T99ALD0210,2127704968.45,744,1430550
47QTCK18D0008,2122959255.10,875,1430550
N0038320DW001,2108771524.35,19,1430550
W31P4Q23D0014,2106893680.81,17,1430550
W31P4Q21D0007,2086994754.22,40,1430550
FA861122D0001,2085248083.08,345,1430550
W15P7T06DE405,2060057877.83,1339,1430550
N0017804D4018,2053281946.50,5176,1430550
GS30FR0005,2047136561.27,59449,1430550
FA862019G4006,2045960718.47,465,1430550
W56HZV22D0083,2044536338.87,52,1430550
W56HZV06G0006,2037084150.25,616,1430550
DAAH0103D0029,2035827141.57,1943,1430550
F0960303D0095,2020354274.48,5784,1430550
W15P7T18D0008,2004398735.36,1583,1430550
N0001921G0017,2003600798.99,58,1430550
FA863417D2696,2002781489.63,625,1430550
GS00Q14OADU121,1998848261.14,511,1430550
DAAA0999D0016,1981805960.55,613,1430550
N0017804D4012,1979968675.07,6498,1430550
70B01C23D00000010,1978136204.00,17,1430550
80MSFC20D0004,1976796292.65,739,1430550
SAQMMA12C1103,1976071417.84,796,1430550
SP060220D0649,1965041337.45,66,1430550
GS00Q09BGD0055,1963588990.71,706,1430550
36C10X19D0005,1952981982.21,46,1430550
A925575828000,1947973000.00,61,1430550
W15P7T11DG402,1947057331.76,1527,1430550
N0002422D6404,1928489597.66,2157,1430550
W15P7T06DE403,1924198955.00,1362,1430550
W91CRB16D5006,1914745361.72,721,1430550
W15P7T10DC007,1905819674.13,1017,1430550
GS35F4506G,1903192595.22,5608,1430550
HQ014718D0001,1895663466.97,661,1430550
SP060010D0458,1895207544.00,1,1430550
HHSN316201200002W,1891690609.54,1064,1430550
N0038322DZV01,1880898064.00,50,1430550
HHSN316201200018W,1864848618.74,1430,1430550
SPE8EJ21D1025,1857791180.69,340,1430550
70RDAD21A00000012,1857639659.54,168,1430550
W91QUZ06D0002,1854472174.38,24873,1430550
36C77020A0009,1853257580.69,233,1430550
W58RGZ15D0048,1845979988.73,386,1430550
N0001920G0005,1834851337.92,913,1430550
HTC71117DR003,1830189354.32,93,1430550
W911QY21D0012,1829200000.00,8,1430550
GS23F9755H,1819889412.19,5037,1430550
SAQMMA13D0120,1810387466.27,506,1430550
W58RGZ04D0037,1808688128.48,375,1430550
SS001760016,1805736899.49,62,1430550
HC102808D2023,1805735995.92,1737,1430550
FA862115D6276,1803224889.91,339,1430550
GS35F393CA,1802765565.88,430,1430550
SAQMMA10D0017,1799396261.47,617,1430550
FA810719D0001,1788511231.27,911,1430550
DLA13H8950000,1788284000.00,2957,1430550
FA861718D6213,1784990944.17,775,1430550
47QTCK18D0011,1780874588.01,948,1430550
FA877104D0007,1776972744.83,5494,1430550
75A50123D00005,1775475375.44,28,1430550
N0017804D4026,1770626491.75,3543,1430550
F3365781C0215,1767967000.00,75,1430550
GS00Q14OADU407,1759038281.68,204,1430550
NNG15SC73B,1752762338.39,4297,1430550
47QMCA22D000U,1747401258.26,50177,1430550
W58RGZ12D0089,1742721024.57,4043,1430550
W58RGZ18D0082,1741774411.67,151,1430550
GS33F0025V,1741441616.18,464,1430550
F3460197D0422,1737683175.65,3646,1430550
GS00T99ALD0211,1730719092.44,569,1430550
GS00Q14OADU329,1725560618.34,927,1430550
W31P4Q20D0039,1724521167.98,116,1430550
NNG15SD19B,1716923617.41,7931,1430550
W56HZV18D0012,1711874722.69,127,1430550
HC102812D0021,1699408601.17,895,1430550
NNN06AA01C,1699006591.09,1794,1430550
FA860919D0007,1697575867.73,162,1430550
W15QKN19D0072,1686662238.17,54,1430550
N0001915G0026,1685095517.84,2507,1430550
GS09K99BHD0001,1681238266.36,3805,1430550
FA810610D0001,1674703387.63,334,1430550
SPE2D117D0023,1674401732.29,5636,1430550
F3460197D0425,1673532938.02,2272,1430550
NNG15SC55B,1671935635.22,2233,1430550
N0001917G0002,1669815299.38,992,1430550
NNG15SC59B,1668692480.85,3154,1430550
FA862607D2073,1653381177.00,68,1430550
HC104705D4005,1651742754.23,3671,1430550
GS00Q09BGD0056,1650787054.63,1149,1430550
N0001914D0011,1650551452.09,1361,1430550
W15P7T06DE404,1650547416.46,1101,1430550
SPE2DX22D0019,1645216810.10,57484,1430550
DAAB0703DB009,1644793548.33,2329,1430550
47QRAA18D001P,1644555926.71,1089,1430550
26301D0054,1641005071.53,398,1430550
W15P7T11DH607,1636940504.43,870,1430550
GS35F0163N,1635821600.90,2747,1430550
693JF719D000002,1634932228.97,87,1430550
GS00Q14OADS722,1630347860.39,1893,1430550
SAQMMA09A0173,1628171675.94,2019,1430550
GS35F110DA,1627988623.77,1160,1430550
SP070098D4002,1627781072.38,4193,1430550
GS00T07NSD0038,1622641112.39,138938,1430550
SAQMMA12D0165,1622588154.70,568,1430550
W56HZV23D0008,1617264610.36,136,1430550
36C10X19D0004,1615604307.33,46,1430550
N0002418D6401,1611195020.55,2692,1430550
GS00Q09BGD0020,1610962731.17,988,1430550
GS00Q17NSD3009,1602682982.76,2210,1430550
DAAB0700DE252,1598321765.02,700,1430550
W912EK22D0002,1590443812.02,164,1430550
N0001918D0001,1589205147.26,324,1430550
FA852819D0015,1586518069.96,602,1430550
SPM8EJ09D0017,1584093052.10,7454,1430550
70B01C21A00000002,1580852877.31,149,1430550
FA810616D0002,1579284113.62,817,1430550
FA807518D0011,1579199794.15,1437,1430550
SPM30008D3196,1578378079.00,9676,1430550
HQ000604D0006,1578300481.49,1249,1430550
GS00Q14OADU113,1575535869.82,1155,1430550
EDFSA09D0013,1574628523.46,527,1430550
W31P4Q22D0004,1571375331.36,63,1430550
HQ014712D0001,1567541332.12,739,1430550
W911SE07D0006,1564632990.76,643,1430550
HHSN316201200008W,1564420347.47,641,1430550
36C79119D0021,1556424249.10,7,1430550
N0001984C0270,1552171000.00,31,1430550
W912EK23D0011,1549569372.30,68,1430550
W900KK18D0018,1546947181.01,1727,1430550
FA862006G4026,1546831898.92,1077,1430550
GS00Q14OADS621,1540951665.99,1031,1430550
89303321DEM000061,1535304209.97,136,1430550
N0017819D8470,1534731615.74,1465,1430550
NNS15AA01C,1527630160.14,1582,1430550
N0017804D4091,1525394296.12,4173,1430550
W91QUZ07D0005,1517979969.28,1028,1430550
DOCYA132315BU0033,1503566169.71,139,1430550
HHSN316201200011W,1502618481.55,511,1430550
FA862005G3028,1495814654.32,728,1430550
FA862016G3028,1492048197.01,465,1430550
W9128F20D0005,1474989049.82,46,1430550
GS25F0062L,1471764727.20,62016,1430550
GS35F4543G,1460120604.29,17958,1430550
HHSN316201200026W,1453539391.58,388,1430550
47QMCA22D000N,1444493645.31,28957,1430550
F3365781C0213,1444349000.00,182,1430550
DAAB0703DB012,1438015657.75,1198,1430550
47QMCA22D000Q,1431466344.74,31603,1430550
FA882320D0001,1420445686.75,155,1430550
GS35F4120D,1418759654.65,12896,1430550
N0001983C0272,1418469000.00,45,1430550
W31P4Q09A0021,1416674583.80,1547,1430550
2031JG21D00023,1416506493.60,88,1430550
GS35F4357D,1415653696.57,5183,1430550
F3365794D2001,1415476778.00,75,1430550
70CDCR20D00000011,1414139600.19,52,1430550
N6133903D0014,1413469747.94,255,1430550
FA868920D2020,1410987091.00,302,1430550
HTC71123DC023,1406977131.76,1384,1430550
F3365779C0779,1406872000.00,152,1430550
SP020003D1666,1406302536.00,14557,1430550
SP070000D3180,1405162062.55,4945,1430550
F3370078C0001,1403336000.00,88,1430550
GS00Q17NSD3006,1402213629.20,3987,1430550
HHSM500201300014I,1401808359.76,203,1430550
W56HZV18D0010,1400156361.52,496,1430550
W91QUZ06D0012,1399038368.66,1663,1430550
HTC71117DC003,1396136800.17,9072,1430550
89303324DEM000096,1393478252.06,27,1430550
HC108420A0003,1391717879.01,842,1430550
N0017804D4143,1390391605.27,4013,1430550
N0001919D0026,1380309826.69,89,1430550
EDFSA09D0015,1378870720.11,299,1430550
GS00Q14OADU313,1373168905.43,143,1430550
2031JG21D00006,1371816278.62,347,1430550
FA862021G4028,1371292119.79,218,1430550
F3365784C2014,1370657000.00,50,1430550
W91QUZ06D0016,1368193830.61,1669,1430550
SAQMMA10D0018,1367593349.46,796,1430550
FA807514D0016,1367377378.86,2879,1430550
N6134019D1006,1364908316.67,512,1430550
FA810809D0006,1363305070.53,1548,1430550
NNG15SD00B,1362537704.23,7997,1430550
SPM8EJ14D0011,1361014024.04,7091,1430550
GS00Q09BGD0060,1357491031.78,394,1430550
GS00Q09BGD0030,1353591753.06,905,1430550
FA861707D6151,1353181397.75,411,1430550
N0001919D0032,1349219092.69,134,1430550
W31P4Q18D0002,1348265963.33,2261,1430550
FA863819D0001,1345978588.64,843,1430550
VA11811D1000,1342992046.13,474,1430550
GS00Q14OADU130,1342354828.77,635,1430550
W56HZV20D0062,1340840027.16,130,1430550
HTC71117DC001,1339421414.23,2471,1430550
GS00Q14OADS742,1334169866.22,1057,1430550
GS00Q09BGD0027,1334125821.06,512,1430550
VA11816D1003,1333736692.69,427,1430550
75FCMC18D0047,1332820160.97,1027,1430550
SPE8EJ21D0022,1325372486.39,5664,1430550
EDFSA09D0014,1325034182.13,377,1430550
NNG15SC65B,1323555855.16,3845,1430550
FA865621DA004,1322277567.03,121,1430550
FA877104D0004,1320692325.74,2380,1430550
F3365785C2086,1316611000.00,45,1430550
DAAE0700DM051,1313039337.54,993,1430550
W58RGZ23D0011,1307684704.14,35,1430550
FA807514D0014,1307592521.96,1620,1430550
FA860918G0002,1305571332.00,30,1430550
DAAE0700DS022,1305166512.75,217,1430550
W9113M07D0006,1303071874.95,509,1430550
SP060013D0453,1300265002.39,1,1430550
EDFSA09D0012,1299917742.22,392,1430550
N0038321DZN01,1299256749.14,15,1430550
N6247019D8025,1296979798.99,243,1430550
47QTCK18D0030,1296904746.11,236,1430550
GS00T99ALD0202,1296619684.61,722,1430550
36C10X19D0006,1290855508.99,40,1430550
FA854019D0001,1284052742.91,469,1430550
GS35F4460G,1280396364.05,5830,1430550
SPE8EJ20D0012,1276066985.75,5001,1430550
W911SE07D0004,1275940387.09,327,1430550
W58RGZ04G0023,1270671777.07,1304,1430550
HC101909D2000,1269209280.48,5601,1430550
N0002481C2134,1267855000.00,223,1430550
W15QKN18D0015,1263911122.19,81,1430550
GS00Q14OADU116,1262357535.71,541,1430550
W56HZV08DG097,1261971111.99,111,1430550
GS00Q14OADU317,1256626977.16,184,1430550
SAQMMA16D0136,1255249613.94,545,1430550
USZA2203D0006,1250512354.85,9588,1430550
N0001985C0145,1250095000.00,16,1430550
GS00Q14OADU117,1248199219.16,226,1430550
36C10G21D0001,1247876599.80,81,1430550
NNG15SD11B,1247218303.51,6536,1430550
GS35F5151H,1244864766.16,928,1430550
N0017804D4079,1242739459.36,2819,1430550
GS00Q09BGD0059,1238199847.71,481,1430550
W56HZV19D0054,1234928200.01,92,1430550
VA79113D0013,1230257366.72,20,1430550
GS00Q09BGD0018,1228277441.35,612,1430550
VA119A16D0038,1227950320.80,49,1430550
SAQMMA10D0104,1227763238.97,156,1430550
47QTCK18D0031,1226069665.39,294,1430550
SPM30008D3194,1224944893.93,3357,1430550
HQ014718D0002,1222930889.67,379,1430550
W52P1J11G0002,1222446116.81,406,1430550
GS30FK0002,1221440146.82,24363,1430550
N0002485C2062,1221142000.00,60,1430550
GS00Q14OADU141,1220722488.73,411,1430550
SPE2DX22D0089,1219321473.51,9968,1430550
W91QUZ07D0011,1218141864.98,10647,1430550
GS35F0312U,1215365606.38,948,1430550
FA862011G4026,1215247695.03,771,1430550
GS30FR0006,1215014436.61,38489,1430550
NNG15SC27B,1214091073.30,2343,1430550
GS00F008DA,1213530216.91,1340,1430550
N0002486C2076,1205798000.00,67,1430550
GS00F0026M,1205340609.55,3747,1430550
NNG15SD60B,1205021307.04,7392,1430550
SPE4AX16D9008,1202880843.72,1156177,1430550
GS00K89AHD0009,1201666000.00,14,1430550
500990016,1200351000.00,3,1430550
GS35F386DA,1198379613.61,604,1430550
HQ014718D0004,1197811522.23,1459,1430550
N0038322GYY01,1197622758.56,951,1430550
W91QUZ06A0003,1195971936.55,1850,1430550
TMG5002,1195163000.00,649,1430550
FA812423D0002,1185324300.92,158,1430550
HSHQDC16D00001,1184028228.90,1132,1430550
GS35F540GA,1183202275.93,596,1430550
HSTS0516DSPP906,1179982099.54,105,1430550
GS09K99BHD0010,1179317012.50,2124,1430550
N0001924G0010,1175929222.30,97,1430550
W15P7T10DD413,1172996116.85,1561,1430550
DAAB0703DB013,1171196543.56,1120,1430550
HSBP1006D01353,1170776089.32,311,1430550
GS35F4338D,1169954512.77,2107,1430550
HHSM500200700001I,1169327513.33,82,1430550
